
### 2025款 Ultra  (specid=70545, 指导价=52.99万, status=20)
车型名称	小米SU7 Ultra 2025款 Ultra
厂商指导价(元)	52.99万
经销商报价	暂无报价
厂商	小米汽车
级别	中大型车
能源类型	纯电动
上市时间	2025-02-27
CLTC纯电续航里程(km)	630
电池快充时间(小时)	0.183
电池快充电量范围(%)	10-80
最大功率(kW)	1138
最大扭矩(N·m)	1770
车身结构	三厢车
电动机(Ps)	1548
长*宽*高(mm)	5070*1970*1465
官方0-100km/h加速(s)	2.1
官方100-0km/h制动(m)	30.8
最高车速(km/h)	350
电能当量燃料消耗量(L/100km)	1.92
整备质量(kg)	2360
最大满载质量(kg)	2810
长度(mm)	5070
宽度(mm)	1970
高度(mm)	1465
轴距(mm)	3000
前轮距(mm)	1672
后轮距(mm)	1649
接近角(°)	12
离去角(°)	15
最小转弯半径(m)	5.85
车门开启方式	平开门
前备厢容积(L)	105
后备厢容积(L)	454
前电动机品牌	汇川联合
后电动机品牌	小米汽车
前电动机型号	TZ220XY108
后电动机型号	TZ230XY001
电机类型	永磁/同步
电动机总功率(kW)	1138
电动机总马力(Ps)	1548
电动机总扭矩(N·m)	1770
前电动机最大功率(kW)	288
前电动机最大扭矩(N·m)	500
后电动机最大功率(kW)	850
后电动机最大扭矩(N·m)	1270
驱动电机数	三电机
电机布局	前置+后置
电池特有技术	麒麟II
电池冷却方式	液冷
电池能量(kWh)	93.7
百公里耗电量(kWh/100km)	16.5
快充功能	支持
快充功率(kW)	480
高压快充	支持
高压平台（V）	800
充电桩价格（元）	3999
慢充接口位置	车左后侧
快充接口位置	车左后侧
对外交流放电功率(kW)	3.5
对外直流放电功率(kW)	6.6
简称	电动车单速变速箱
挡位个数	1
变速箱类型	固定齿比变速箱
车体结构	承载式
主/副驾驶座安全气囊	主●/副●
前/后排侧气囊	前●/后-
前/后排头部气囊(气帘)	前●/后●
前排中间气囊	●
被动行人保护	●
ABS防抱死	●
制动力分配(EBD/CBC等)	●
刹车辅助(EBA/BAS/BA等)	●
牵引力控制(ASR/TCS/TRC等)	●
车身稳定控制(ESC/ESP/DSC等)	●
ISOFIX儿童座椅接口	●
车道偏离预警系统	●
主动刹车/主动安全系统	●
疲劳驾驶提示	●
DOW开门预警	●
前方碰撞预警	●
后方碰撞预警	●
哨兵模式/千里眼	●
低速行车警告	●
内置行车记录仪	●
道路救援呼叫	●
能量回收系统	●
自动驻车	●
上坡辅助	●
空气悬架	●
前/后驻车雷达	前●/后●
透明底盘/540度影像	●
倒车车侧预警系统	●
卫星导航系统	●
导航路况信息显示	●
并线辅助	●
车道保持辅助系统	●
车道居中保持	●
道路交通标识识别	●
辅助泊车入位	●
遥控泊车	●
记忆泊车	○
辅助变道	●
辅助匝道自动驶出(入)	○
信号灯识别	○
远程召唤	●
方向盘离手检测	●
起步提醒	●
电动扰流板	●
无框设计车门	●
电动前备厢	●
电动后备厢	●
电动后备厢位置记忆	●
车内中控锁	●
无钥匙启动系统	●
主动闭合式进气格栅	●
电池预加热	●
对外放电	●
LED日间行车灯	●
自适应远近光	●
自动头灯	●
转向辅助灯	●
大灯高度可调	●
大灯延时关闭	●
前/后电动车窗	前●/后●
车窗防夹手功能	●
后排侧隐私玻璃	●
蓝牙/车载电话	●
语音免唤醒词	●
语音连续识别	●
可见即可说	●
声纹识别	●
应用商店	●
车联网	●
OTA升级	●
Wi-Fi热点	●
主动降噪	●
模拟声浪	●
车载KTV	●
多功能方向盘	●
方向盘加热	●
方向盘记忆	●
全液晶仪表盘	●
HUD抬头数字显示	●
行李厢12V电源接口	●
运动风格座椅	●
主/副驾驶座电动调节	主●/副●
前/后中央扶手	前●/后●
后排杯架	●
杜比全景声(Dolby Atmos)	●
主动式环境氛围灯	●
热泵空调	●
后座出风口	●
温度分区控制	●
车载空气净化器	●
车内PM2.5过滤装置	●
空气质量监测	●
车载冰箱	○
人车家生态空间	●
生态拓展空间	●
24K金 碳纤维车标	包含：24K金 碳纤维车标
U型风刀+大前铲	包含：U型风刀+大前铲
尾部主动扩散器	包含：尾部主动扩散器
Classic经典拉花	包含：条纹设计，和侧面的镂空字符设计，让简约的车身更显优雅
*选装“碳纤维双风道前舱盖”后，拉花仅覆盖车身侧面
*选配后，与其他拉花互斥
碳纤维中控台饰板	包含：采用碳纤维中控后，车辆重量大幅减轻，同时提升了操控性和安全性。
碳纤维内饰套装	包含：碳纤维门板饰条4个、碳纤维后排出风口饰条1个、碳纤维迎宾踏板2个
碳纤维外饰套装	包含：碳纤维后视镜2个、碳纤维侧裙2个
碳纤维车顶	包含：长1462mm、宽1254mm，整体减重可达11kg，搭配Alcantara®超细纤维面料，带来更轻盈的驾驶感受。
*选配后，将取消全景天窗
碳纤维双风道前舱盖	包含：新增2个空气动力学风道，前部空气高效导流，整体面积1.73平方米，整体减重1.3kg
*选配后，拉花仅覆盖车身侧面
*选配后，将取消前备箱
竞速套装	包含：21英寸 U型锻造轮毂 金属钕色/石墨黑、倍耐力P ZERO第五代高性能轮胎、倍耐力P ZERO TROFEO RS半热熔轮胎、碳纤维后轮眉、倍适登EVO T1 绞牙减振器
、ENDLESSMA45B制动片、碳纤维车顶
